ID,Industry,Age,Sex,Are you a First Nation member?,Education,years,days,workhours,rechours,"Work (office) postal code? First three digits only: (if you are uncomfortable with, or do not know the postal code, please include the region instead)",OffSite,INSPQriskOFF,"Work (site - outdoors) postal code? First three digits only: (if you are uncomfortable with, or do not know the postal code, please include the region instead)",OnSite,INSPQriskON,RiskScore,RegionOFF
F29,Biology,25-34 years ,,No,postgraduate degree,4-7 years ,4-5 days ,4-7 hours,more than 7 hours,J0E,Brome-Missisquoi,2,J0E,Brome-Missisquoi,2,17.5,Estrie
F3,Unknown,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,0-3 hours,more than 7 hours,G1R,Quebec City,2,"Québec, Chaudière-Appalaches, Estrie",Multiple,2,8.5,Multiple
F30,Maintenance,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,0-3 hours,0-3 hours,J2G,Granby,3,Estrie / Montérégie,Multiple,2,10,Multiple
F31,Biology,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,4-7 hours,4-7 hours,J1N 1H4,Sherbrooke,3,Majoritairement l'Estrie,Estrie,2,14.5,Estrie
F32,Biology,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,4-7 hours,more than 7 hours,J2G,Granby,3,,Granby,3,9,Estrie
F33,Maintenance,18-24 years,Female,Yes,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,more than 7 hours,more than 7 hours,J2G 3V3,Granby,3,,Granby,3,8.5,Estrie
F34,Biology,25-34 years ,Female,No,postgraduate degree,4-7 years ,4-5 days ,4-7 hours,4-7 hours,J2G,Granby,3,"Bassin versant de la rivière Yamaska, mais beaucoup plus dans les MRC d'Acton, Maskoutains, Haute-Yamaska et Brome-Missisquoi",Multiple,2,16,Multiple
F35,Biology,25-34 years ,Female,No,postgraduate degree,4-7 years ,4-5 days ,0-3 hours,4-7 hours,J2H 0Y6,Granby,3,Très varié,Multiple,2,17,Multiple
F36,Environment,25-34 years ,Male,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,4-7 hours,J9A,Gatineau,3,MRC Pontiac (Bristol et Clarendon),Pontiac,2.5,12.5,Outaouais
F37,Forestry,55+ years ,Male,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,0-3 hours,G1V,Quebec City,2,Outaouais,Outaouais,2,10.5,Outaouais
F38,Forestry,35-44 years ,Male,No,postgraduate degree,8+ years,4-5 days ,more than 7 hours,4-7 hours,G1V,Quebec City,2,Plusieurs régions,Multiple,2,8.5,Multiple
F39,Forestry,55+ years ,Male,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,4-7 hours,G1V,Quebec City,2,Outaouais,Outaouais,2,9.5,Outaouais
F4,Biology,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,more than 7 hours,,,,Laurentides et Outaouais,Multiple,2,14.5,Multiple
F40,Government,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,0-3 hours,4-7 hours,J0X 2A0,Ladysmith,1,J0X 2A0,Ladysmith,1,10.5,Outaouais
F41,Biology,55+ years ,Male,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,more than 7 hours,J2G 5P3,Granby,3,Montérégie,Montérégie,2,9.5,Montérégie
F42,Unknown,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,0-3 hours,more than 7 hours,J1H,Sherbrooke,3,Estrie,Estrie,2,6,Estrie
F43,Government,55+ years ,Male,Yes,Certificate or diploma from a trade school (D.E.P.),8+ years,4-5 days ,0-3 hours,0-3 hours,K0A,Ottawa,,,,,10,
F44,Recreation,25-34 years ,Male,No,postgraduate degree,0-3 years,4-5 days ,more than 7 hours,4-7 hours,J1H,Sherbrooke,3,variable. Parfois entre les Sutton et Stoke,Multiple,2,9.5,Estrie
F45,Biology,45-54 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,more than 7 hours,4-7 hours,H7E 5G8,Laval,3,H7E 5G8,Laval,3,9.5,Laval
F46,Biology,45-54 years ,Male,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,more than 7 hours,G1S,Quebec City,2,"Plusieurs région du Québec (Outaouais, Montérégie, capitale-Nationale, Laurentides, Bas-Saint-Laurent, Gaspésie)",Multiple,2,15,Multiple
F47,Biology,35-44 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,more than 7 hours,J4K,Longueuil,3,"Montréal, Laval, Montérégie",Multiple,2,11,Multiple
F48,Biology,45-54 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,more than 7 hours,G3L,Saint-Raymond,1,G3L,Saint-Raymond,1,9.5,Capitale Nationale
F49,Biology,55+ years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,4-7 hours,4-7 hours,j4k,Longueuil,3,M'Montérégie,Montérégie,2,14,Montérégie
F5,Unknown,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,4-7 hours,J8Y 4S1,Gatineau,3,Varié selon les projets. Souvent dans les municipalités de Bristol et Clarendon.,Pontiac,2.5,17,Outaouais
F50,Biology,35-44 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,1-3 days,4-7 hours,more than 7 hours,J9L,Mont-Laurier,1,Haute Laurentides territoire non organisé,Multiple,2,8.5,Multiple
F51,Biology,35-44 years ,Male,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,4-7 hours,J9L,Mont-Laurier,1,Laurentides,Laurentides,1.5,7,Laurentides
F52,Biology,45-54 years ,Male,No,postgraduate degree,8+ years,4-5 days ,4-7 hours,more than 7 hours,J4B 6K2 (télétravail...),Boucherville,3,Partout au Québec,Multiple,2,11.5,Multiple
F53,Biology,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,1-3 days,more than 7 hours,more than 7 hours,J1N,Sherbrooke,3,Partout au Québec,Multiple,2,6.5,Multiple
F54,Biology,45-54 years ,Female,No,postgraduate degree,8+ years,4-5 days ,more than 7 hours,more than 7 hours,J4K,Longueuil,3,,Longueuil,3,10,Montérégie
F55,Biology,35-44 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,1-3 days,4-7 hours,4-7 hours,J6A,Repentigny,1,Lanaudière et Laurentides,Multiple,2,11,Multiple
F56,Biology,35-44 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,more than 7 hours,more than 7 hours,J6A,Repentigny,1,Lanaudière,Lanaudière,1.5,8,Lanaudière
F57,Biology,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,4-7 hours,J8E,Mont-Tremblant,1,Laurentides,Laurentides,1.5,5,Laurentides
F58,Biology,45-54 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,more than 7 hours,J6A,Repentigny,1,multiple,Multiple,2,13,Multiple
F59,Biology,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,more than 7 hours,4-7 hours,J6e,Joliette,2,Jok,Montcalm,1,9,Laurentides
F6,Environment,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,4-7 hours,J3G,Beloeil,1,Montérégie et couronne sud de Montréal,Montérégie,2,16.5,Montérégie
F60,Environment,18-24 years,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,0-3 hours,4-7 hours,Chelsea,Chelsea,3,Chelsea,Chelsea,3,8,Outaouais
F61,Unknown,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,0-3 hours,more than 7 hours,G1T,Quebec City,2,Région de la capitale nationale (Portneuf à Côte-de-Beaupré),,1.5,6.5,Capitale Nationale
F62,Biology,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,more than 7 hours,more than 7 hours,G3L,Saint-Raymond,1,G3L,Saint-Raymond,1,6,Capitale Nationale
F63,Unknown,45-54 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,0-3 hours,more than 7 hours,j3g4s6,Mont-Saint-Hilaire,3,,Mont-Saint-Hilaire,3,4,Montérégie
F64,Recreation,18-24 years,Male,No,High school diploma or equivalent (D.E.S.) ,0-3 years,4-5 days ,more than 7 hours,4-7 hours,J3H,Mont-Saint-Hilaire,3,J3H,Mont-Saint-Hilaire,3,9.5,Montérégie
F65,Recreation,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,more than 7 hours,0-3 hours,J3G,Beloeil,1,J3G,Beloeil,1,14.5,Montérégie
F66,Recreation,55+ years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,0-3 hours,0-3 hours,J3h,Mont-Saint-Hilaire,3,,Mont-Saint-Hilaire,3,7,Montérégie
F68,Recreation,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,1-3 days,more than 7 hours,more than 7 hours,J3G,Beloeil,1,J3G,Beloeil,1,8,Montérégie
F69,Recreation,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,1-3 days,more than 7 hours,more than 7 hours,J3G 4S6,Beloeil,1,J3G 4S6,Beloeil,1,8,Montérégie
F7,Biology,35-44 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,1-3 days,more than 7 hours,0-3 hours,J3G,Beloeil,1,J0P,Vaudreuil-Soulanges,2,13,Montérégie
F70,Maintenance,35-44 years ,Male,Yes,Certificate or diploma from a trade school (D.E.P.),8+ years,4-5 days ,0-3 hours,4-7 hours,j3g,Beloeil,1,j3g,Beloeil,1,9,Montérégie
F71,Recreation,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,1-3 days,more than 7 hours,more than 7 hours,J3H4E3 ,Mont-Saint-Hilaire,3,J3H4E3 ,Mont-Saint-Hilaire,3,9,Montérégie
F73,Recreation,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,0-3 hours,4-7 hours,Montérégie,Montérégie,2,Montérégie,Montérégie,2,10,Montérégie
F74,Environment,18-24 years,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,4-7 hours,0-3 hours,J3g 4s6,Beloeil,1,Réserve de la biosphère du mont st-hilaire,Mont-Saint-Hilaire,3,11.5,Montérégie
F75,Environment,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,more than 7 hours,J3G,Beloeil,1,J/G,Beloeil,1,2.5,Montérégie
F76,Environment,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,0-3 hours,0-3 hours,J3G,Beloeil,1,J3G,Beloeil,1,5.5,Montérégie
F77,Biology,25-34 years ,Female,No,postgraduate degree,4-7 years ,4-5 days ,0-3 hours,4-7 hours,J3G,Beloeil,1,J3G,Beloeil,1,7,Montérégie
F78,Biology,35-44 years ,Male,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,4-7 hours,H9X,Baie-D'Urfé,3,"Montréal, Laval, Montérégie, Laurentides, Mauricie",Multiple,2,8.5,Multiple
F79,Unknown,35-44 years ,Female,No,postgraduate degree,4-7 years ,4-5 days ,4-7 hours,4-7 hours,G0C 2B0,New Richmond,1,G0C 2B0,New Richmond,1,10.5,Gaspésie–Îles-de-la-Madeleine
F8,Environment,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,more than 7 hours,4-7 hours,J3G,Beloeil,1,J4M,Longueuil,3,8.5,Montérégie
F80,Forestry,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,more than 7 hours,4-7 hours,J0K,Matawinie,1.5,J0S,Matawinie,1.5,15,Lanaudière
F81,Maintenance,35-44 years ,Female,No,postgraduate degree,4-7 years ,4-5 days ,more than 7 hours,more than 7 hours,G7J,Chicoutimi,2,,Saguenay,1,11,Saguenay–Lac-Saint-Jean
F82,Biology,45-54 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,more than 7 hours,more than 7 hours,J6A,Repentigny,1,Lanaudière,Lanaudière,1.5,14,Lanaudière
F83,Forestry,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,4-7 hours,more than 7 hours,450,La Haute-Yamaska,2.5,J0S,Matawinie,1.5,13,Lanaudière
F84,Biology,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,4-7 hours,more than 7 hours,g6x,Lévis,2,Chaudière-Appalaches,,1.5,8,Chaudière-Appalaches
F85,Biology,35-44 years ,Female,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,more than 7 hours,J6A,Repentigny,1,Lanaudière,Lanaudière,1.5,8,Lanaudière
F87,Biology,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,1-3 days,4-7 hours,more than 7 hours,J6A 4X6,Repentigny,1,J0H,La Vallée-du-Richelieu,3,8.5,Montérégie
F88,Biology,25-34 years ,Female,No,postgraduate degree,4-7 years ,4-5 days ,more than 7 hours,more than 7 hours,g1n,Quebec City,2,,Quebec City,2,12.5,Capitale Nationale
F89,Biology,35-44 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,more than 7 hours,J6A,Repentigny,1,Variable,Multiple,2,10.5,Multiple
F9,Environment,25-34 years ,Male,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,0-3 hours,J3G 0A4,Beloeil,1,Montérégie,Montérégie,2,8.5,Montérégie
F90,Forestry,35-44 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,more than 7 hours,more than 7 hours,G6G,Thetford Mines,1,"MRC Beauce-Centre, MRC Appalaches, MRC Beauce-Sartigant, MRC Nouvelle-Beauce, MRC Lotbinière-Mégantic.",Multiple,2,13,Multiple
F91,Forestry,55+ years ,Male,Prefer not to answer,Certificate or diploma from a trade school (D.E.P.),8+ years,4-5 days ,4-7 hours,more than 7 hours,J8H,Lachute,2,J8G,Brownsburg-Chatham,2,14.5,Laurentides
F92,Forestry,55+ years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,0-3 hours,4-7 hours,Montérégie ouest,Montérégie,2,J0S1H0,Hinchinbrooke,3,17.5,Montérégie
F93,Forestry,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,4-7 hours,4-7 hours,J6E,Joliette,2,Lanaudière,Lanaudière,1.5,10,Lanaudière
F94,Forestry,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,4-7 hours,4-7 hours,G6G,Thetford Mines,1,"Chaudière-Appalaches, Estrie et Centre du Québec",Multiple,2,7,Multiple
F95,Forestry,35-44 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,1-3 days,0-3 hours,more than 7 hours,G0M,Saint-Georges,2,G0M,Saint-Georges,2,10.5,Chaudière-Appalaches
F96,Biology,18-24 years,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,4-7 hours,4-7 hours,G4V,Sainte-Anne-des-Monts,1,Parc de la Gaspésie et la foret aux alentours,,1,9.5,Gaspésie–Îles-de-la-Madeleine
F97,Maintenance,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,0-3 hours,more than 7 hours,G0M,Saint-Georges,2,Beauce,Beauce,1.5,6,Chaudière-Appalaches
F98,Education,35-44 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,more than 7 hours,more than 7 hours,G0j,Cap-Chat-Est,1,G0J,La Haute-Gaspésie,1,16.5,Gaspésie–Îles-de-la-Madeleine
F99,Forestry,35-44 years ,Male,No,Certificate or diploma from a trade school (D.E.P.),8+ years,4-5 days ,more than 7 hours,4-7 hours,G6B,Le Granit,1.5,J0E,Brome-Missisquoi,2,15.5,Estrie
S1,Agriculture,25-34 years,Male,No,"No certificate, diploma or degree",4-7 years,6-7 days,more than 7 hours,more than 7 hours,G0N 1C0,Sainte-Clotilde-de-Beauce,1,G0N 1C0,Sainte-Clotilde-de-Beauce,1,12,Chaudière-Appalaches
S11,Agriculture,25-34 years,Male,No,"No certificate, diploma or degree",4-7 years,6-7 days,more than 7 hours,more than 7 hours,St clotilde,Sainte-Clotilde-de-Beauce,1,St clotilde,Sainte-Clotilde-de-Beauce,1,5,Chaudière-Appalaches
S12,Agriculture,25-34 years,Male,Prefer not to answer,"No certificate, diploma or degree",4-7 years,6-7 days,more than 7 hours,more than 7 hours,St clotilde,Sainte-Clotilde-de-Beauce,1,,Sainte-Clotilde-de-Beauce,1,10,Chaudière-Appalaches
S13,Agriculture,35-44 years ,Male,No,High school diploma or equivalent (D.E.S.) ,4-7 years,6-7 days,more than 7 hours,more than 7 hours,St clotilde,Sainte-Clotilde-de-Beauce,1,,Sainte-Clotilde-de-Beauce,1,9,Chaudière-Appalaches
S14,Agriculture,25-34 years,Male,No,High school diploma or equivalent (D.E.S.) ,4-7 years,6-7 days,more than 7 hours,more than 7 hours,,Sainte-Clotilde-de-Beauce,1,,Sainte-Clotilde-de-Beauce,1,9,Chaudière-Appalaches
S15,Agriculture,25-34 years,Male,No,"No certificate, diploma or degree",0-3 years,6-7 days,more than 7 hours,more than 7 hours,,Sainte-Clotilde-de-Beauce,1,,Sainte-Clotilde-de-Beauce,1,8.5,Chaudière-Appalaches
S17,Agriculture,35-44 years ,Male,No,High school diploma or equivalent (D.E.S.) ,0-3 years,6-7 days,more than 7 hours,0-3 hours,,Sainte-Clotilde-de-Beauce,1,,Sainte-Clotilde-de-Beauce,1,12.5,Chaudière-Appalaches
S18,Agriculture,25-34 years,Male,No,"No certificate, diploma or degree",0-3 years,6-7 days,more than 7 hours,more than 7 hours,,Sainte-Clotilde-de-Beauce,1,,Sainte-Clotilde-de-Beauce,1,12,Chaudière-Appalaches
S3,Agriculture,35-44 years ,Male,No,High school diploma or equivalent (D.E.S.) ,8+ years,6-7 days,more than 7 hours,0-3 hours,G0N1C0,Sainte-Clotilde-de-Beauce,1,G0N1C0,Sainte-Clotilde-de-Beauce,1,12,Chaudière-Appalaches
